"content_id","user_id","name","keyword","price","flag_used","category_id_1","category_id_2","category_id_3","emergency_cnt","comment_cnt","interest","pfavcnt"
163028413,3682152,"갤럭시노트10플러스 256GB 아우라 글로우","갤럭시노트10플러,노트10플러스",233500,1,"600","600700","600700001",0,0,208,8
162557969,6972746,"[A-급]갤럭시S10 128GB 화이트 대구중고폰","S10,s10플러스,S105G,S10E,S20플러스",210000,1,"600","600700","600700001",0,0,334,7
163153725,10197556,"노트10 256기가 아우라글로우 SS급 48464","노트10,갤럭시노트10,note10",400000,1,"600","600700","600700001",0,0,57,2
128508082,11158176,"장착방문3 hid led 할로겐 전조등 안개등 광량업 화이트 장착구매문의","안개등,led,h7,라이트,자동차",55000,2,"750","750610","750610300",0,14,10488,123
141935018,11158176,"광량업4 순정hid led 라이트 안개등 광량업  화이트 판매.장착문의","h7,led,안개등,전조등,led라이트",55000,2,"750","750610","750610300",0,0,3085,43
133959584,66620,"[베스트셀러]정직가격꿀Pc  롤서든피파배그  사무용","pc,데스크탑,본체,컴퓨터,컴퓨터본체",178000,1,"600","600100","600100006",10,4,80399,1887
142540474,12851816,"#당일발송# 아이폰12프로 128G/ 256G 등급별초특가! 최저가폰!","12pro중고폰,12프로공기계,아이폰12프로",919000,1,"600","600700","600700001",0,1,13546,313
160956557,10255755,"아이폰12미니  128GB  [블루]  48047  (A급)","아이폰12미니,12미니,12미니블루,아이폰12미니블루,12mini",620000,1,"600","600700","600700001",0,0,610,19
162587120,3682152,"갤럭시s8 (A급) 64GB 블루","갤럭시s8,갤럭시8",100000,1,"600","600700","600700001",0,0,200,8
161805167,75335649,"한정수량))제나배색원피스ㅡ팔로우만구매가능","원피스,배색원피스,정장원피스,미디원피스,원피스추천",23800,2,"310","310120","310120030",0,0,1095,90
155128175,6972746,"[A급]S10e 128GB 옐로우 대구중고폰","S10e,S10e중고,갤럭시S10,S10,S9",190000,1,"600","600700","600700001",0,0,280,11
160778691,10197556,"아이폰12 256 블랙 SS급 47980","아이폰12,iphone12",850000,1,"600","600700","600700001",0,0,957,12
159462243,2319404,"LG 24인치 미개봉 새제품 판매 합니다.","24인치모니터,듀얼모니터,LG모니터,미개봉모니터",140000,1,"600","600100","600100007",0,0,263,2
162523976,12211204,"아이폰12 64G 퍼플 19만원","아이폰,에어팟,아이폰12,아이폰11,아이폰XR",190000,2,"600","600700","600700001",2,0,4343,90
160276900,9975820,"뷰익 SMK-580 경량스틸 남성용 아이언","경량스틸,중고아이언,남성용아이언",345000,1,"700","700600","700600300",0,0,236,3
162188680,201368,"갤럭시z폴드3 선착순10명!!",,1290000,2,"600","600700","600700001",0,10,3217,26
163151688,10197556,"아이폰11 64기가 화이트 S급 48524","아이폰11,Iphone11",530000,1,"600","600700","600700001",0,0,96,3
129617690,5521022,"(택포)유기농 시서스 다이어트 시서스가루","시서스,시서스가루,시서스파우더,다이어트,다이어트식품",24000,2,"800","800300","800300002",2,1,8218,383
163154375,3947717,"[PNY] XLR8 RTX3080 UPRISING EPIC-X RGB D","rtx3080,rtx3080미개,그래픽카드,pny,3080미개봉",1630000,2,"600","600200","600200005",0,0,414,0
162847787,89926,"노스페이스 세트  남성100  거의새것","트레이닝",30000,1,"320","320150","320150300",0,0,60,1
127044092,9464815,"가을이벤트 한정수량PC","rtx3070,컴퓨터풀셋,컴퓨터,조립컴퓨터,중고컴퓨터",150000,1,"600","600100","600100006",7,17,44899,838
130346965,948674,"*당일발송*아이폰SE 최저가 판매","아이폰se",129000,2,"600","600700","600700001",1,6,41099,1180
154807516,948674,"*당일발송*아이폰12미니 최저가 판매","아이폰12,아이폰12미니,아이폰12pro,아이폰12프로맥스,아이폰12프로",549000,1,"600","600700","600700001",0,0,8128,220
162261248,10255755,"아이폰11pro  64GB  [화이트]  48390  (S급)","아이폰11프로,11프로,아이폰11pro,11pro,11pro화이트",630000,1,"600","600700","600700001",0,0,783,33
162972286,10255755,"아이폰12프로  128GB  [그래파이트]  48152  (SS급)","아이폰12프로,12프로,12pro,아이폰12pro,12pro그파",990000,1,"600","600700","600700001",0,0,86,4
163145632,10197556,"아이폰12 128기가 화이트 S급 48470","아이폰12,iphone12",770000,1,"600","600700","600700001",0,0,129,10
106346242,8799581,"블랙박스 * 아이로드 NX7 * (미개봉) 출장설치 및 판매","블랙박스,NX7,아이로드,커넥티드",85000,2,"750","750610","750610400",1,50,30558,656
123999042,4779682,"(미개봉) 맥북에어 2020  인텔, M1 기본형 전색상 프로모션","맥북에어,맥북에어2020,맥북에어기본형,맥북에어m1,맥북에어256",790000,2,"600","600100","600100001",25,0,55975,912
128416938,1266155,"18k 24k 대나무 목걸이 금목걸이 금팔찌 도금팔찌 도금목걸이 금반지","도금,도금목걸이,대나무목걸이,금목걸이,순금",40000,2,"420","420200","420200999",3,2,25665,275
152626173,2347538,"#당일발송#LG 윙(WING) 128G 전등급초특가 LG최신폰/중고폰","LG윙,WING,윙",290000,1,"600","600700","600700001",0,0,3335,53
159430552,75666168,"1960년대 독일 퓌어스텐베어그 장미 티팟/미사용","유럽빈티지,티팟,바바리아도자기,커피잔",105000,1,"800","800400","800400020",0,0,162,7
162550977,11370134,"(55) 헤지스/데님솔리드 셔츠","헤지스셔츠55,헤지스여성셔츠55,헤지스솔리드55",29000,1,"310","310050","310050040",0,0,101,1
162865763,1641602,"아크네 스튜디오 토트백 뱀피스네이크","아크네,아크네스튜디오,아크네토트백,베이커백",250000,1,"430","430200","430200999",0,0,154,7
